VAR00004,q_5,VAR00001,q_6,q_7_score,q_8_score,q_9_score,q_10_score,q_11,q_12,q_12b,q_13_score,q_13_other,q_14_score,VAR00005,q_14_other,q_17_score,q_18,VAR00002,q_19a,q_19_0,q_19_1,q_19_2,q_19_3,q_19_4,q_19_5,q_19_6,q_19_7,q_19_8,q_19_9,VAR00003,q_fpxariert0,q_kanzenfjky,q_d3ivlmburb,q_3fueexkvwl,q_gakkxsofac,q_m2mvnd3r3r,q_fof2icttp0,q_ltutldrmhs,q_vt5wjrmxtg,q_4krhg77tje,q_kjkgzndrkt,q_ussvigksso,q_pvmuguroil,q_iz72txtptb,q_q2lihromvi,q_nfqulptv5t,q_5hqxgfdsfd,q_ospzhucp62,q_rkvsunpe6t,q_a8bqwufqm6,q_dmodwr41os,q_22_score,q_22_other,q_22b_score,q_22b_other,q_23,will_email_increase_coded,qualification,q_24,changes_in_behaviour_coded,q_25,changes_in_tech_coded,q_26,working_relationships_coded,additional_coding,q_1_score,q_2_score,q_2_other,q_3_score,q_4_score,q_ltejt7zene_score,q_nbqxn6dawh,Policy_coded,filter_$
They can be misunderstood and copied to others you didn't want the mail to be seen by.,5,Quick communication that can be referred back to for reference,2,1,2,2,1,20,10,10,2,98,1,I don't send junk e-mails,1,2,5,Just checking e-mails and sorting them or reading jokes,1,1, , , , , , , , , ,Bad jokes,1,6,6,6,7,4,4,5,6,6,7,6,6,5,7,4,6,7,7,6,8,2, , , ,"Yes, but skype will be used more widely too",3,3,Stop jokes and chain mails,4,No,99,Respect for each other,6, ,5,3,4,3,2,1,Outlines the professional use of e-mail,6,1
"Impersonal, spam",4,"Cost-effective, time-efficient, succinct and recordable",1,2,1,3,2,90,10,10,2,50,1, ,99,2,15,Deleting spam emails.,1,1, , ,4,5,6,7,8,9, ,Emails that are sent to all staff but are only relevant to lecturers,8,5,5,9,1,5,6,5,7,9,5,5,5,9,1,7,5,5,5,9,5,2, ,2, ,Yes,1,0,Stop spam emails therefore reducing time being wasted deleting them,5,No,99,"Strong communication skills, courteous, helpful",2, ,5,3,99,2,2,1,I understand what I am able to do within emails in work,4,1
"Impersonal, spam",4,"cost effective, time efficient",1,1,1,1,2,90,10,10,2,50, , ,99,1, , ,99, , , , , ,6,7,8,9, ,E-mails that are sent to all staff but are only relevant to lecturers,8,4.4,10,5.6,10,2.1,10,8.2,6.7,10,10,4.1,10,9.9,7.6,10,2.4,9.8,6.7,10,10,2, ,2, ,Yes.,1,0,Prevent spam e-mails.,4,No.,99,Strong communication skills,2, ,5,3,2,2,2,1,I understand what policies and procedures are in place when using e-mails.,6,1
"Can be impersonal, easy to delete, can be easy to send an email without really considering your response, can't access work email when out and about,security issues, can be monitored so you can not always give a true response",11,"Quick, easy, the built in features in programs such as Outlook (like the Calendar, follow up flags etc) allow you to organise your work flow and schedule, allows people who have poor communication abilities to be on the same playing field. Delivery and read receipts can be vital for knowing that someone has received the information that you are conveying.",1,2,1,2,2,120,45,45,2,97,1,I try to always write in a way that can not be construed as ambiguous as am aware that written messages can not always convey tone.,5,2,10,Sometimes I wont notice that an email that I have received has only been cc'ed to me so I will start to investigate the content only to realise that it essentially isnt for me.,2,1, ,3,4, ,6,7,8,9, ,An email from Colleague A outlining why he didnt like Colleague B...this graduated to one line emails commenting on everything that Colleague B said and why they were wrong.,1, , ,8,8, , , , ,10,10,8, ,7.9,10, ,8.2, , ,10,10,2, , , ,Yes,1,0,Specific job role templates to ensure email conforms to policy and reduces risk of message being misconstrued,1,No,99,Cordial atmosphere where people can express their opinions and ideas freely.  Where constructive criticism is employed without either party feeling belittled or berated.  When colleagues understand what the other does.,3, ,5,3,3,3,2,1,I always ensure that the content of my emails is appropriate and am always aware that there may be several people reading any given thing that I have typed.,2,1
sometimes difficult to read the gist of the message without listening to which words are stressed.,9,quick<br/>proof of what was said/agreed<br/>tracking of the message replies.,1,3,1,4,2,60,50,75,2,98,1,more to do with my reactionary nature,5,2,10,conversation type unrelated to work,2, , , , , ,6,7,8, , ,not relevant emais sent out to everyone when the message is meant for small section of staff.,8,3,9,3.5,7,2,4,8,8.5,9.5,5,5,9.5,7,8.5,2,1.5,4,7,9,5,2, , , ,either that or any replacement programme,3,3,yes - awareness of how and when emails are effective would be useful.,4,no,99,open and honest,2, ,5,3,5,4,2,3,policy rules tend to be covered in the normal use of business communication. i try to write emails for professional reasons in the same way i would form a letter.,6,1
Messages could be mis-read or mis-interpreted.,9,Speed of delivery - The ability to reach someone when they are away from home or the office.,1,5,1,4,2,180,50,50,1,2,1,I check the e-mail is in the context it's meant to be received,5,1, ,General chatting / socialising,2, , , , , , , , , ,10,"Inappropriate content could be canvassing for another business or, on the other end of the scale, flirting or trying to 'pull' a colleague could be classed as inappropriate.",1,10,3,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,2, , , ,Yes,1,0,Better awareness on Company User Policy conveyed to Staff,2,The majority of Staff are unable to send messages Campus wide - they have to send via Tech Support first - This could slow up the need to transmit emergency messages.,8,"Obviously effective communication, electronically, via telecommunications and in person - The ability to work as a team towards a common goal - Clear direction and instruction - Trust in your colleagues and obviously some humour too.",2, ,5,3,2,3,1,1,"If the Line Manager requires me to send e-mails of large size (i.e. with lots of attachments), my Outlook Capacity won't allow me to send.",6,1
easy to send to wrong person.  Easy to forget to include attachments.,5,Quick.  Efficient.  Can send to many people at the same time.,1,1,1,2,2,60,20,30,2,98,1,have to be clear and precise.,5,1, , ,99, , , , , ,6, , , , ,Emails should be re read before being sent to ensure they are written coreectly.  Nothing worse than reading an email and finding mistakes.,6,3.3,8,6.3,8.2,7.5,8.1,8.2,8.7,8.6,8.9,8.1,9,9.3,9,9.3,9.2,9,9,9.1,9.2,2, , , ,Yes,1,0,Clearer writing,7,No,99,Able to communicate effectively with each other.  Confident that they will reply promptly to messasges.,2, ,5,3,5,3,2,1,DO not use for personal emails.,4,1
Reduces face to face contact and social interactions.<br/>Sometimes the content or intention can be misunderstood as you can't detect tone as with someone's voice.<br/>Sometimes e-mails are used when it is not necessary.,4,Time saving and efficient.<br/>E-mail messages are there when you are ready to receive them i.e. you don't have to be at your desk at the moment it is sent to receive it.<br/>E-mails can be kept as evidence for audit where as there is no evidence of verbal requests.<br/>Easy way to communicate with a large amount of people ie. all staff.,4,3,1,3,2,90,50,50,2,97,1,This is important as you would with any other interaction.,5,2,5,Chatting with colleagues / ex-colleagues - non work related.<br/>Clearing out group e-mails that are not relevant.,2, , , , , , , ,8,9, ,In my previous job (at another college) I had problems with several of the above but this was due to the way my manager behaved (ie. bullying etc was a problem face to face as well as via e-mail).<br/>I receive quite a few e-mails that are information for academic staff to feed down to students which are not relevant.<br/>I often get messages forwarded from my boss which I have already had but this is just to ensure I have had them.,3,3,8,8,9,5,2,8,5,10,10,9,5,9,10,5,10,10,10,10,10,2, , , ,Yes as more people turn to online ways of doing things.,3,2,Possibly by reminding staff that they should have their e-mails open and respond quickly - even if they can't carry out the task straight away to respond and give an approximate timescale. Similar to you would expect a member of staff to answer the phone on their desk if it was ringing.,2,Not particularly. Sometimes people copy in lots of managers etc and this can seem intimidating to the recipient.,99,Good working relationships allow you to feel safe and confident to say what you need to say without fear of recriminations while at the same time maintaining boundaries for acceptable behaviour in the workplace.,3, ,5,2,55,2,2,1,None really as most of them cover common sense and generally acceptable behaviour.,99,0
"Impersonal, unreliable",4,"Succinct, recorddable, cost effective, immediate",2,1,1,2,2,30,25,25,2,98,1,"I am aware of the impact of any communication, regardless of form",5,2,50,Irrelevant all staff messages,2,1, , ,4,5,6,7,8,9, ,Poorly written emails reflect badly on the sender and the organisation as a whole.,6,5,10,4,8, , ,5,3,7,10,1,10,10,10, , ,10, ,10,10,2, , , ,Yes,1,0,"As the use of electronic communication increases, so the way it is used will change.  I am not sure that email user behaviour can be changed any more than other communication methods and the way they are used.",99, ,99,"Amicable, friendly, open communication, a clear understanding of a shared goal.",2, ,5,3,2,3,1,2,I ensure I do not transmit anything that could be construed as offensive or inappropriate.,8,1
"Impersonal, spam, barrage of irrelivent 'All Staff' emails.",4,"Quick, reliable, hard copies available for records, ability to include many people in one conversation, ability to relay information to people who are difficult to get hold of.",1,1,1,2,2,60,15,10,2,50,1,"I never send emails in a rush and take time over what I write and how I word things as without the nuances of conversation, things may be misconstrued in email.",5,2,20,Recieving emails which arent relevant but still need to be read for this to be determined.,2, , , , ,5,6,7,8,9, ,Poorly written emails are a particular bugbear of mine as it comes across as unprofessional and lazy.,6,8,8,10,1, ,5,7, ,10,9,10,10,10,5,5,6, ,4,10,10,2, , , ,Yes,1,0,Yes,0,No,99,"Open, comfortable, professional.",3, ,5,2,55,2,2,1, ,99,0
being overwhelmed with information<br/>being sent information that does not apply to me,3,able to quickly to respond<br/>fairly informal<br/>,1,1,1,3,2,30,2,10,1,2,1,pressures,1,2,10,reading e mails that do not apply to me<br/>,2,1,2,3,4,5,6,7,8,9, ,"i get e mails pressuring me to complete a task from 3-4 different sources.  these are often copies, but not always",2,7.2,9.5,9.5,7,5.3,9,9.7,6.2,9.9,8.4, , , , , , , , , , ,2, , , ,yes probably,1,0,less stress would enable people to think more,6, ,99,respect<br/>honestly<br/>politeness,6, ,5,4,20,5,2,4,obviously none!,99,0
Emails sent and not always relevant to you and spam emails.,2,Quick fast method of contact and it is free. Also have a record of what was said.,1,1,3,2,2,30,10,10,2,50,2, ,99,1, , ,99, ,2, , ,5,6,7,8,9, ,Mostly poor grammar,6,5,2.1,6.8,7.9,7.3,7,4.9,5.6,5.4,5.2,6.3,5,4,4.8,5.4,4.1,4.5, ,5.3,4.4,2, , , ,yes,1,0,think before sending the email,1,no,99,Team work will always result in good working relationship,8, ,5,4,21,4,2,2,Do not send a bullying or offensive email,9,1
no face to face contact with a person,9,"speed, convenience,accessibilty",1,2,3,3,2,20,12,20,2,98,1,only if the mail is  neccessary,1,2,10,due to technical issues with mail..not displaying images etc.,6, ,2,3, ,5,6, ,8,9, ,Implying that information was or wassn't provided yet |I know that it was (or wasn't) as the case might be.,2,3.5,8.2,3.8,3.7,5.5,7.9,4.4,4.3,5.8,7.1,5.4,8.2,4.4,4.7,5.3,5,5.3,4,4.4,4.1,2, , , ,yes,1,0,only use if needed and not to waste time about irrelivant subject matter,4,no,99,professional and informed with a pleasent attitude,5, ,4,4,22,5,1,2,Content of mail can be used for or against an individual in times of dispute,2,1
I have to spend time in front of the computer talking to people when I prefer to phone them.,4,I have evidence of who I have spoken what to.  It is quick and efficient and cuts down on paper.,2,1,1,2,2,30,10,10,2,98,1,Spelling must be correct  and contents brief.,5,1, , ,99, ,2,3, ,5,6,7,8, , ,Poorly written.  Managers who do not know the rules of grammar or cannot spell is a prime example.,6, , ,9,5,10,10,5,10,6.5,10, , ,5,10,10,10,10,10,5.3,9.9,1,3,1, ,"Yes, people are too busy.",3,4,Get rid of spam.,4,Too many of them at times.,4,Talking to people face to face so that body language can be read.  People can hide behind the email.,2, ,5,4,23,5,2,3,None.,99,0
Some things need to be said face to face to understand the context behind the wording.  Some things may seem whitty when written only to appear sarcastic by the recipient.,9,Asynchornous.,4,2,1,2,2,60, , ,2,98,1,size of attachments and importance of message,1,2,20,responding to emails of little consequence in fear of offending the sender.,2, ,2, , ,5,6,7,8, , ,A head of department emailed me to inform me he was cutting my teaching hours.,1,2,10,9,7.9,2, ,5, ,7,8,8,10,5,7, ,6,8, ,10,10,2, , , ,Yes.  Short messages will be handled more by texting whereas large documents with large attached files will be handled more by e-mail than by traditional mail.,3,3,better filtering,3,No,99,One where the parties need not necessarily be friends but can work together effectively to reach a desired outcome.,8, ,5,4,24,4,1,2,Problems with receiving coverted files and download through attachments.,9,1
"Impersonal, lose that human connection, can send e-mails to wrong people by mistake quite easily which could breach confidentiality.",4,"Quicker than post, can be a fairly quick way of getting an answer, a good way of having evidence of an exchange should you need to.",1,2,1,3,2,90,10,20,2,50,2, ,99,2,20,"people tend to send jokes, quizzes or chain mail which you don't often realise until you've opened the mail.<br/><br/>receiving e-mails which are not relevant to me.",2,1, , ,4,5,6,7,8,9, ,I often receive e-mail that is not relevant to me as I am on a department address list.,8,9,10,9,10,7,7,8,6,10,9,7.5,10,8.5,8,10,5,8,5,10,9,2, , , ,unfortunately yes!,1,0,more training on appropropriate use,2, ,99,"trust, respect, good communication, regular face to face contact",3, ,5,4,24,3,2,2,I am very careful not to send e-mails that are considered inappropriate particularly in terms of anything which could be considered offensive.,8,1
impersonal and informal,4,fast,1,1,1,1,2,30,4,10,2,98,1, ,99,2,10,Unnecessary replies,2, , , , ,5,6, ,8, , , ,99,2.5,6.6,7.5,8,4.9,6.4,5.5,6.2,7.3,6.3,2,4.7,6.9,7.4,7,6.6,5.5,5.2,7.8,5.8,2, , , ,Yes,1,0,?,0,No,99,Ease of communication,2, ,5,4,17,4,2,3, ,99,0
prone to equipment failure,8,Contact multiple contacts<br/>Able to collect mail form anywhere with internet access<br/>Receipt of delivery<br/>Speed<br/>,1,2,1,2,2,6,5,10,1,2,1,have less,1,2,5,pointless CC-ing into others messages,2, , , , ,5,6,7,8,9, ,Content that is not relevent to me<br/>same message from miltiple sources,8,1.9,1.2,7.4,8.9,1.2,1,1.2,1.3,9,1.2,8.8,1.1,8.9,8.6,4.8,1.1,1.3,1.4,9,1.2,2, , , ,Yes,1,0,Not sure,99,No,99,polite respectful,6, ,5,4,21,5,1,1,None I obey the rules,99,0
System failure<br/>Interpretation - it can be difficult to interpret the 'tone' of the message.,9,Good for factual / objective info sharing.<br/>Quick<br/>Record of having contacted someone,2,1,1,1,2,20,5,5,1,2,1, ,99,1, , ,99, , , , ,5, ,7,8,9, ,Advertising information,1,5.5,8.9,7.2,8,9,4.9,9.3,7.4,9,9.7,5.6,9.9,7.2,8.2,5.3,9.3,9.1,5.5,9,9.1,2, , , ,Yes,1,0,Training in how to write clear concise emails,2,No,99,Respect between colleagues. Open and honest communication.,6, ,5,4,23,5,2,2,I consider the content of emails and who they are being sent to.,8,1
Inpersonal approach<br/>Lack of discussion opportunity,4,Speed<br/>Direction<br/>Routine information transfer<br/>Locality v distance,1,7,1,8,2,60,50,50,2,50,1, ,99,1, , ,99, , , , ,5, , , , , ,There are instances when a member of staff wishes to avoid being questioned and an email is a short way of avoiding this,5, ,10,9.9,10,5, ,5,8.8,10,10, ,10,10,10,9.7,8.4,10,7.4,10,8.1,2, , , ,Yes,1,0,Training and development,2,security,4,Ability to discuss issues openly with any member of staff regardless of their position. Being approachable at all time. Never judgemental and always listening,2, ,5,2,55,5,2,1, ,99,0
Receiving duplicates where some users pass on emails you have already had.,5,You can easily keep a record / proof of your activity.,2,1,1,1,2,30,10,10,2,98,2, ,99,2,5,Sorting through duplicates and those which are not relevant to me.,2, , , , , ,6, ,8,9, ,"Some managers just pass emails on without reading who they were sent to. This results in duplicate messages on a regular basis. If the message was sent to the whole department, why send it again?",9,10,10,10,10, , ,10, ,10,10, ,10,10, , , ,10, ,10,10,2, ,2,1,Yes,1,0,Cut down on duplicate messages and junk messages,7,No,99,Replying to requests by email as soon as possible to someone who does the same.,6, ,5,4,18,5,1,2,None as emails sent during working hours are on related to the college.,4,1
"Not being able to check them regularly, sometimes having notification after the event because I haven't had the time to look at them for a day or two.",8,The ease at which I can communicate with colleagues and students.,1,2,1,3,2,60,5,5,2,50,1,I try not to sound annoyed or anxious in emails,5,2,45,answering emails that could be dealt with by admin staff,2, ,2,3, ,5,6,7,8,9, ,I have asked a reasonable question but recieved a very short and abrasive reply; being told to do something without reasonable explanation;despite the fact that face to face communication is encouraged in the college statement many staff send emails rather than speak to people about issues,2,5.5,10,9.5,9.3,1.2,1.4,5.2,5.7,10,10,5.4,10,10,10,9.5,9.6,5.8,6.6,10,5.2,2, , , ,yes,1,0,put a stop to irrelevant emails eg I don't need to know what is being served in the canteen today!,7,"Yes, lack of facte to face interaction",9,Being able to be honest with others without them taking offence. Being able to rely on others and for others to know that they can rely and trust me.,2, ,5,4,25,4,2,4, ,99,0
